End Time_D&T,Volume,Cost,Price,Trade Hours Duration
2019-03-29,-5475.0,-104440.3,29.2434375,1.25
2019-03-30,-6438.0,1723.050000000003,26.12086956521739,1.4130434782608696
2019-03-31,-8894.0,-25125.010000000002,21.403478260869566,1.391304347826087
2019-04-01,-6280.0,-95024.9,23.324827586206894,1.3448275862068966
2019-04-02,-2482.0,-13838.9,20.645714285714288,1.8571428571428572
2019-04-03,-3806.5,-12634.725,8.946153846153845,2.230769230769231
2019-04-04,-2857.0,-25337.95,25.85153846153846,1.4615384615384615
2019-04-05,-5212.0,-51005.0,24.4715,1.3
2019-04-06,-7811.0,-117133.8,26.913999999999998,1.3
2019-04-07,-8861.0,-113892.29,27.759722222222223,1.4722222222222223
2019-04-08,-3920.0,-49731.85,31.192,1.5333333333333334
2019-04-09,-7432.0,-106808.23999999999,29.48923076923077,1.5
