Trade ID,Start Time,End Time,Volume,Price,Cost,SO Flag
ES00000666,2015-05-13T06:00:00Z,2015-05-13T07:00:00Z,200,41.56,8312,F
ES00000667,2015-05-13T07:00:00Z,2015-05-13T08:00:00Z,200,56.98,11396,F
ES00000668,2015-05-13T17:00:00Z,2015-05-13T18:00:00Z,200,53.46,10692,F
ES00000669,2015-05-06T22:00:00Z,2015-05-07T05:00:00Z,-238,-85,20230,T
ES00000670,2015-05-07T05:00:00Z,2015-05-07T11:00:00Z,-192,-72,13824,T
ES00000671,2015-05-09T13:00:00Z,2015-05-09T14:00:00Z,500,36.7,18350,F
ES00000672,2015-05-09T14:00:00Z,2015-05-09T15:00:00Z,500,36.41,18205,F
ES00000673,2015-05-09T15:00:00Z,2015-05-09T16:00:00Z,500,39.53,19765,F
ES00000674,2015-05-10T22:00:00Z,2015-05-11T07:00:00Z,1971,78,153738,T
ES00000675,2015-05-08T22:00:00Z,2015-05-09T07:00:00Z,1971,78,153738,T
ES00000676,2015-05-09T22:00:00Z,2015-05-10T07:00:00Z,1971,78,153738,T
ES00000677,2015-05-10T22:00:00Z,2015-05-11T07:00:00Z,1755,76,133380,T
ES00000678,2015-05-08T22:30:00Z,2015-05-08T23:00:00Z,-400,9,-3600,T
ES00000679,2015-05-08T22:30:00Z,2015-05-08T23:00:00Z,-200,12,-2400,T
ES00000680,2015-05-10T15:00:00Z,2015-05-10T16:00:00Z,500,37.77,18885,F
ES00000681,2015-05-10T16:00:00Z,2015-05-10T17:00:00Z,500,47.1,23550,F
ES00000682,2015-05-10T17:00:00Z,2015-05-10T18:00:00Z,500,49.03,24515,F
ES00000683,2015-05-10T09:00:00Z,2015-05-10T16:00:00Z,-266,-77,20482,T
ES00000684,2015-05-10T22:00:00Z,2015-05-10T23:00:00Z,500,35.98,17990,F
ES00000685,2015-05-11T08:00:00Z,2015-05-11T09:00:00Z,500,54.97,27485,F
ES00000686,2015-05-11T09:00:00Z,2015-05-11T10:00:00Z,500,50.03,25015,F
ES00000687,2015-05-11T10:00:00Z,2015-05-11T11:00:00Z,500,40.7,20350,F
ES00000688,2015-05-11T20:00:00Z,2015-05-11T21:00:00Z,500,39.02,19510,F
ES00000689,2015-05-13T18:00:00Z,2015-05-13T19:00:00Z,200,46.02,9204,F
ES00000690,2015-05-13T19:00:00Z,2015-05-13T20:00:00Z,200,46.05,9210,F
ES00000691,2015-05-12T22:30:00Z,2015-05-12T23:00:00Z,1584,79,125136,T
ES00000692,2015-05-12T18:00:00Z,2015-05-13T02:00:00Z,-304,-77,23408,T
ES00000693,2015-05-13T22:30:00Z,2015-05-13T23:00:00Z,600,39.25,23550,F
ES00000694,2015-05-15T22:30:00Z,2015-05-16T23:00:00Z,12000,39.9,478800,F
ES00000695,2015-05-15T22:30:00Z,2015-05-16T23:00:00Z,12000,39.9,478800,F
ES00000696,2015-05-14T22:00:00Z,2015-05-15T05:00:00Z,-210,13.74,-2885.4,T
ES00000697,2015-05-23T22:00:00Z,2015-05-24T07:00:00Z,2070,63.6,131652,T
ES00000698,2015-05-15T22:00:00Z,2015-05-16T07:00:00Z,2070,63.6,131652,T
ES00000699,2015-05-23T22:00:00Z,2015-05-24T07:00:00Z,2070,63.6,131652,T
ES00000700,2015-05-26T22:30:00Z,2015-05-26T23:00:00Z,1840,63.6,117024,T
